lake_id,chla,richness,evenness,abundance,biomass,productivity
FTH,4.610301444,2.63905733,-0.356349803,2.235821877,4.962888336,3.471808337
XLH,4.525217474,2.890371758,-0.67023901,3.338632221,6.032924172,4.465450734
HGH,3.841176035,1.992430165,-0.423196425,1.240786777,4.666111098,2.706055619
LH,3.710983353,2.944438979,-0.404577314,2.672231103,6.520756939,4.467883932
WH,2.434801733,2.367123614,-0.589405212,1.123756471,5.322052204,3.244220146
NSH,2.929188781,2.961830722,-0.331947047,2.566017163,5.477963356,3.854059644
TBH,4.391258886,2.961830722,-0.949243995,3.345508476,6.855939333,4.903072182
CDH,4.522102537,2.85263143,-0.53209405,2.27226906,6.323718574,4.210439886
CCH,4.840869252,2.813410717,-0.425611015,2.595979983,6.062878305,4.186612255
ZPH,3.502636887,2.995732274,-1.068329902,2.810071815,6.923974287,4.71515747
BAH,3.903569598,2.538973871,-0.632676457,2.451364229,5.821370224,4.015495171
HMH,3.966161803,2.926739402,-1.087486167,3.300199763,6.592319005,4.731079241
LZH,3.679636873,2.961830722,-1.486628167,3.32548556,6.112052288,4.499367619
LSH,4.212377772,2.427748236,-1.069626978,2.875994203,5.732892372,4.124411008
JYH,4.504246725,2.730029108,-1.13761157,3.62877553,6.992093938,5.079882495
WMH,3.242436089,2.793208009,-1.179880053,2.924131839,6.132950395,4.355250415
YYZH,2.938809126,2.730029108,-0.857933601,3.386271732,6.853444645,4.895021691
CH,1.625442487,1.84582669,-0.347090241,0.362905494,4.460695803,2.348555362
NLH,4.1661414,2.564949357,-0.862702691,3.427469595,6.689668884,4.830739319
YNH,4.426577668,2.708050201,-0.558692768,3.024819012,6.599151704,4.64351651
HH,4.518263046,2.813410717,-0.660235998,3.550375401,6.446854096,4.72796726
SJH,4.50344995,2.85263143,-0.564505121,2.784239339,5.939435419,4.200167083
YZH,3.543294759,2.685577345,-0.516442589,1.37757591,5.178636829,3.260902146
NHH,5.319889669,2.751535313,-0.468347622,2.549879105,5.193139705,3.684680379
CHH,3.328212426,2.751535313,-1.203707909,3.867141858,6.832968348,5.089522403
WJDH,4.974060441,2.63905733,-0.625677283,3.372311964,7.421297584,5.207542737
GZH,3.755882037,2.63905733,-0.54767182,2.803360381,6.083804569,4.258677264
TLH,2.68709025,2.708050201,-0.857825687,3.345141301,6.467259642,4.483720589
TH,3.398589183,2.63905733,-0.859346519,2.397895273,5.277258638,3.704052725
HOH,4.868183471,2.525728644,-0.831847102,2.267605374,5.395063069,3.71363262
LJH,3.986919695,2.708050201,-1.276513501,3.034552266,5.877526259,4.268218778
YJH,4.141586862,2.48490665,-0.440853538,2.343407088,5.725510671,3.925015349
LGH,4.089254966,2.833213344,-0.792457401,3.6958861,6.450575077,4.820659701
HUH,2.031301166,2.833213344,-0.906882632,2.578479209,5.233332079,3.751705713
DGH,3.504510088,2.740840024,-0.735123145,3.05144288,5.837657254,4.248350526
BH,2.797938301,2.525728644,-0.795020087,2.687705761,5.77146611,4.072039935
HSH,4.01613374,2.351375257,-0.401667281,2.151035195,5.218246056,3.579272208
SSH,3.737022584,2.772588722,-0.613471073,3.246815193,6.248803385,4.544629708
NH,4.201174586,2.251291799,-0.742947996,2.788092909,6.035031271,4.252275602
