Treatment,Halect gothic,Daniel fusifo,Tisbe sp 1,Tisbe sp 2,Tisbe sp 3,Tisbe sp 4,Tisbe sp 5,Typhlam typhl,Bulbamph imus,Stenhelia refl,Amphiascus ten,Ameira parvula,Proameira simp,Leptopsy para,Enhydros long,Laophontidae,Ancorab mirab,Copepodit ind,Cyclopoida
C,0,1,0,0,0,0,0,4,1,3,1,0,0,0,2,0,3,0,1
C,0,1,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,2
C,1,1,0,0,0,0,0,2,0,0,0,0,0,1,1,0,4,1,0
C,1,1,0,0,0,0,0,4,2,1,0,0,0,0,2,0,4,0,2
L,16,1,0,45,86,151,129,5,0,2,0,4,0,0,3,0,2,1,0
L,23,3,0,22,83,249,0,8,0,0,0,2,2,0,1,0,18,1,0
L,8,8,0,39,88,264,0,4,0,0,2,3,0,0,0,1,3,1,0
L,16,5,0,25,0,87,115,3,0,0,6,2,5,0,0,0,3,3,0
H,0,1,2,6,5,8,4,0,0,0,0,2,0,0,0,0,27,0,0
H,1,0,27,0,29,0,0,0,0,0,0,0,0,0,0,0,3,1,0
H,0,0,119,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
H,0,3,31,32,20,34,40,0,0,0,0,2,0,0,0,0,0,0,0
