title,artist,streams_millions,genre
Blinding Lights,The Weeknd,4600,synth-pop
Shape of You,Ed Sheeran,4100,pop
Someone You Loved,Lewis Capaldi,3400,pop ballad
Sunflower,Post Malone,3300,hip-hop
Dance Monkey,Tones and I,3200,electropop
Rockstar,Post Malone,3100,hip-hop
One Dance,Drake,3000,dancehall
Closer,The Chainsmokers,2900,EDM
Lovely,Billie Eilish,2800,indie pop
Bohemian Rhapsody,Queen,2700,rock
Señorita,Shawn Mendes,2600,pop
Stay,The Kid LAROI,2500,pop
Watermelon Sugar,Harry Styles,2400,pop rock
Heat Waves,Glass Animals,2300,indie pop
Levitating,Dua Lipa,2200,disco pop
